epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,137.301,1.81129,3.21969,1.96378,0.34175,0.3118,0.27397,0.14611,1.81127,2.84355,1.85497,0.00997076,0.00332359,0.00997076,0.00332359,0.00997076,0.00332359,0.00997076,0.00332359
2,257.033,1.78128,2.58154,1.93427,0.31098,0.28285,0.23347,0.11295,1.80484,2.91921,1.85886,0.019806,0.006602,0.019806,0.006602,0.019806,0.006602,0.019806,0.006602
3,369.776,1.8055,2.5634,1.98504,0.43838,0.16019,0.20159,0.09749,2.03883,3.45873,2.1802,0.0294762,0.00982541,0.0294762,0.00982541,0.0294762,0.00982541,0.0294762,0.00982541
4,481.704,1.86515,2.56255,2.03866,0.33369,0.28094,0.23783,0.11867,2.0104,3.03691,2.13048,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,592.97,1.80457,2.46462,1.99924,0.3117,0.29802,0.25246,0.13384,1.94857,2.87296,2.09211,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,704.118,1.78128,2.36994,1.98039,0.42584,0.36562,0.35952,0.18881,1.74225,2.36138,1.93241,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,815.095,1.74172,2.33875,1.94677,0.43666,0.39649,0.38125,0.20366,1.71978,2.37726,1.87494,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,926.09,1.72246,2.24439,1.92945,0.40497,0.40821,0.36784,0.19396,1.68736,2.13295,1.87366,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,1037.11,1.69767,2.22651,1.90988,0.3964,0.40681,0.37473,0.19784,1.67313,2.19701,1.80435,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,1148.17,1.66939,2.19372,1.89378,0.47771,0.42426,0.42288,0.22668,1.67371,1.96899,1.80713,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
11,1259.88,1.66276,2.14348,1.87905,0.4958,0.42189,0.43548,0.23468,1.62164,1.89846,1.80573,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
